_id,_pct_missed,_judgments,_hidden,_contention,_pct_contested,_gold_pool,_farg_secim,farg_secim_gold,farg_secim_gold_reason,sid,sent,pred,pred_no,senseid,ex0,ex1,ex2,arg0,arg1,arg2,arg3,arg4,farg,farg_secim_gold,farg_secim_gold_reason,_golden
853873254,0.17,6,false,"",0.0,,"",tanıyan,"Tanıyan kimdir, nedir ?",188,Eroin kendisine rakip sevgili tanımaz . ,tanı,1,1,"&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <strong>Cümle:</strong><font size=3><i>Tarık Bey, albümü görür görmez tanıdı.</i></font><br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylem</b>: tanıdı<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>hatırlayan</b>: Tarık Bey<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>hatırlanan şey</b>: albümü<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylemin ne zaman (Eylül, Pazartesi), ne sıklıkla (her zaman, bazen), hangi sırada (ilk, son) ya da ne kadar süreliğine (bir aylığına) gerçekleştiği</b>: görür görmez<br>","&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <strong>Cümle:</strong><font size=3><i>İngiltere 1783 Paris Antlaşmasıyla, kolonilerin bağımsızlığını resmen tanıdı.</i></font><br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylem</b>: tanıdı<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>hatırlayan</b>: İngiltere<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylemin nasıl gerçekleştiği (hızlıca, güzel, yavaş)</b>: 1783 Paris Antlaşmasıyla<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>hatırlanan şey</b>: kolonilerin bağımsızlığını<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylemin nasıl gerçekleştiği (hızlıca, güzel, yavaş)</b>: resmen<br>",N.A,tanıyan,tanınan,N.A,N.A,N.A,Eroin,tanıyan,"Tanıyan kimdir, nedir ?",TRUE
853873255,0.21,14,false,"",0.0,,"",tanınan,Neyi tanımaz ?,188,Eroin kendisine rakip sevgili tanımaz . ,tanı,1,1,"&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <strong>Cümle:</strong><font size=3><i>Tarık Bey, albümü görür görmez tanıdı.</i></font><br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylem</b>: tanıdı<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>hatırlayan</b>: Tarık Bey<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>hatırlanan şey</b>: albümü<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylemin ne zaman (Eylül, Pazartesi), ne sıklıkla (her zaman, bazen), hangi sırada (ilk, son) ya da ne kadar süreliğine (bir aylığına) gerçekleştiği</b>: görür görmez<br>","&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <strong>Cümle:</strong><font size=3><i>İngiltere 1783 Paris Antlaşmasıyla, kolonilerin bağımsızlığını resmen tanıdı.</i></font><br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylem</b>: tanıdı<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>hatırlayan</b>: İngiltere<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylemin nasıl gerçekleştiği (hızlıca, güzel, yavaş)</b>: 1783 Paris Antlaşmasıyla<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>hatırlanan şey</b>: kolonilerin bağımsızlığını<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylemin nasıl gerçekleştiği (hızlıca, güzel, yavaş)</b>: resmen<br>",N.A,tanıyan,tanınan,N.A,N.A,N.A,sevgili,tanınan,Neyi tanımaz ?,TRUE
853873256,0.67,6,false,"",0.0,,"",neye başladığı,"Ne başlayacak ? ""Görüşmeler"". Örnek 1'i inceleyiniz.",222,"Şahin , TSMF Avrupa Birinci Bölge Direktörü BDDK ' ile yarın başlayacak görüşmelerin en önemli gündeminin memur ve işçilere yapılacak zam ile atıl istihdam olduğunu belirtti . ",başla,1,1,"&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <strong>Cümle:</strong><font size=3><i>Şairliğe on sekiz yaşında gazel ve rubailerle başlamıştı.</i></font><br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>girişilen iş</b>: Şairliğe<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylemin ne zaman (Eylül, Pazartesi), ne sıklıkla (her zaman, bazen), hangi sırada (ilk, son) ya da ne kadar süreliğine (bir aylığına) gerçekleştiği</b>: on sekiz yaşında<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>ne ile girişildiği</b>: gazel ve rubailerle<br>",N.A,N.A,başlayan,neye başladığı,nasıl/ne ile başlanıldığı,N.A,N.A,görüşmelerin,neye başladığı,"Ne başlayacak ? ""Görüşmeler"". Örnek 1'i inceleyiniz.",TRUE
853873257,0.00,5,false,"",0.0,,"","Ne Zaman (Eylül, Pazartesi), Ne Sıklıkla (her zaman, bazen), Kaçıncı (ilk, son) ya da Ne kadarlığına (bir aylığına)",Ne zaman başlayacak ? ,222,"Şahin , TSMF Avrupa Birinci Bölge Direktörü BDDK ' ile yarın başlayacak görüşmelerin en önemli gündeminin memur ve işçilere yapılacak zam ile atıl istihdam olduğunu belirtti . ",başla,1,1,"&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <strong>Cümle:</strong><font size=3><i>Şairliğe on sekiz yaşında gazel ve rubailerle başlamıştı.</i></font><br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>girişilen iş</b>: Şairliğe<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylemin ne zaman (Eylül, Pazartesi), ne sıklıkla (her zaman, bazen), hangi sırada (ilk, son) ya da ne kadar süreliğine (bir aylığına) gerçekleştiği</b>: on sekiz yaşında<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>ne ile girişildiği</b>: gazel ve rubailerle<br>",N.A,N.A,başlayan,neye başladığı,nasıl/ne ile başlanıldığı,N.A,N.A,yarın,"Ne Zaman (Eylül, Pazartesi), Ne Sıklıkla (her zaman, bazen), Kaçıncı (ilk, son) ya da Ne kadarlığına (bir aylığına)",Ne zaman başlayacak ? ,TRUE
853873258,0.29,7,false,"",0.0,,"",neye özendirildiği,"Neye özendiriliyor ? ""kendisine güven duymaya""",239,"Bir çocuğa ailenin vereceği en önemli şey , kendisini değerli hissetmesi , varlığından mutlu olunduğunu bilmesi , önemsendiğini hissetmesi ve kendisine güven duymaya teşvik edilmesidir . ",et,1,30,N.A,N.A,N.A,özendiren,özendirilen kişi,neye özendirildiği,N.A,N.A,duymaya,neye özendirildiği,"Neye özendiriliyor ? ""kendisine güven duymaya""",TRUE
853873259,0.33,6,false,"",0.0,,"","Yardımcı fiil elemanı (mezun olmak'taki mezun, hayal etmek'teki hayal vb... )","""teşvik edilmesidir"" yardımcı fiille kurulmuş bir eylemdir. Yukarıdaki ""Instructions"" kısmından yardımcı fiilli örneği okuyunuz. ",239,"Bir çocuğa ailenin vereceği en önemli şey , kendisini değerli hissetmesi , varlığından mutlu olunduğunu bilmesi , önemsendiğini hissetmesi ve kendisine güven duymaya teşvik edilmesidir . ",et,1,30,N.A,N.A,N.A,özendiren,özendirilen kişi,neye özendirildiği,N.A,N.A,teşvik,"Yardımcı fiil elemanı (mezun olmak'taki mezun, hayal etmek'teki hayal vb... )","""teşvik edilmesidir"" yardımcı fiille kurulmuş bir eylemdir. Yukarıdaki ""Instructions"" kısmından yardımcı fiilli örneği okuyunuz. ",TRUE
853873260,0.33,3,false,"",0.0,,"",neye uyduğu,"",245,"Dil bükmüş , bize uydurmuşuz . ",uy,1,1,&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <strong>Cümle:</strong><font size=3><i>Şapkan montuna uymuş.</i></font><br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylem</b>: uymuş<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>uyan şey</b>: Şapkan<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>uyduğu şey</b>: montuna<br>,N.A,N.A,N.A,uyan şey,neye uyduğu,N.A,N.A,bize,neye uyduğu,"",TRUE
853873261,0.14,7,false,"",0.0,,"","Nasıl (hızlıca, güzel, yavaş, yapıp, koşup vb)",Nasıl içeri girdi ? ,274,Dört külah dondurmayı iki eliyle tutan kız takunyalarını tıkırdatarak içeri girdi . ,gir,1,1,"&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <strong>Cümle:</strong><font size=3><i>Birlikte kiliseden içeri giriyoruz, ben topallıyorum.</i></font><br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylem</b>: giriyoruz<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylemin kiminle/kimlerle yapıldığı (Kardeşimle, NATOyla, onlarla)</b>: Birlikte<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>girilen yer</b>: kiliseden içeri<br>",N.A,N.A,giren kişi,N.A,N.A,N.A,nereye girildiği,tıkırdatarak,"Nasıl (hızlıca, güzel, yavaş, yapıp, koşup vb)",Nasıl içeri girdi ? ,TRUE
853873262,0.00,5,false,"",0.0,,"",nereye girildiği,Nereye girdi ?,274,Dört külah dondurmayı iki eliyle tutan kız takunyalarını tıkırdatarak içeri girdi . ,gir,1,1,"&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <strong>Cümle:</strong><font size=3><i>Birlikte kiliseden içeri giriyoruz, ben topallıyorum.</i></font><br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylem</b>: giriyoruz<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylemin kiminle/kimlerle yapıldığı (Kardeşimle, NATOyla, onlarla)</b>: Birlikte<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>girilen yer</b>: kiliseden içeri<br>",N.A,N.A,giren kişi,N.A,N.A,N.A,nereye girildiği,içeri,nereye girildiği,Nereye girdi ?,TRUE
853873263,0.40,5,false,"",0.0,,"","Kiminle (Kardeşimle, NATOyla, onlarla)",Kimlerle otururken ? ,275,"Ecevit partisinin bakanlarıyla protokolün bir tarafında otururken , diğer tarafta CHP'liler yer aldı . ",otur,1,1,"&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <strong>Cümle:</strong><font size=3><i>Şöyle geç, koltuğa otur.</i></font><br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylem</b>: otur<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>yerleştiği yer</b>: koltuğa<br>",N.A,N.A,N.A,oturan,nereye oturduğu,N.A,N.A,bakanlarıyla,"Kiminle (Kardeşimle, NATOyla, onlarla)",Kimlerle otururken ? ,TRUE
853873264,0.00,7,false,"",0.0,,"",nereye oturduğu,"Nerede oturuyor ? ""protokolün bir tarafında""",275,"Ecevit partisinin bakanlarıyla protokolün bir tarafında otururken , diğer tarafta CHP'liler yer aldı . ",otur,1,1,"&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <strong>Cümle:</strong><font size=3><i>Şöyle geç, koltuğa otur.</i></font><br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylem</b>: otur<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>yerleştiği yer</b>: koltuğa<br>",N.A,N.A,N.A,oturan,nereye oturduğu,N.A,N.A,tarafında,nereye oturduğu,"Nerede oturuyor ? ""protokolün bir tarafında""",TRUE
853873265,0.20,5,false,"",0.0,,"",dönüşen,"",314,"Onun güzelliğine duyduğum hayranlıkla başlayan ilişki daha sonra kesin bir cinsel bağımlılığa dönüşmüş ve hep öyle sürmüştü , hatta bir ara artık onun güzelliğini bile fark edemez hale gelmiştim . ",dönüş,1,1,N.A,N.A,N.A,N.A,dönüşen,neye dönüştüğü,N.A,N.A,ilişki,dönüşen,"",TRUE
853873266,0.43,7,false,"",0.0,,"","Ne Zaman (Eylül, Pazartesi), Ne Sıklıkla (her zaman, bazen), Kaçıncı (ilk, son) ya da Ne kadarlığına (bir aylığına)", ,314,"Onun güzelliğine duyduğum hayranlıkla başlayan ilişki daha sonra kesin bir cinsel bağımlılığa dönüşmüş ve hep öyle sürmüştü , hatta bir ara artık onun güzelliğini bile fark edemez hale gelmiştim . ",dönüş,1,1,N.A,N.A,N.A,N.A,dönüşen,neye dönüştüğü,N.A,N.A,sonra,"Ne Zaman (Eylül, Pazartesi), Ne Sıklıkla (her zaman, bazen), Kaçıncı (ilk, son) ya da Ne kadarlığına (bir aylığına)", ,TRUE
853873267,0.14,7,false,"",0.0,,"",neye dönüştüğü,İlişki neye dönüşmüştü ? İlişkinin dönüştüğü son hal nedir ?,314,"Onun güzelliğine duyduğum hayranlıkla başlayan ilişki daha sonra kesin bir cinsel bağımlılığa dönüşmüş ve hep öyle sürmüştü , hatta bir ara artık onun güzelliğini bile fark edemez hale gelmiştim . ",dönüş,1,1,N.A,N.A,N.A,N.A,dönüşen,neye dönüştüğü,N.A,N.A,bağımlılığa,neye dönüştüğü,İlişki neye dönüşmüştü ? İlişkinin dönüştüğü son hal nedir ?,TRUE
853873268,0.33,3,true,"bulunan şey tam olarak fıstık kan, fıstık orda kanı niteliyor, yani sıfat. tek başına alınmamalı.",0.3333,,"bulunan şey
Nasıl (hızlıca, güzel, yavaş, yapıp, koşup vb)
{{arg1}}
{{arg2}}
{{arg3}}
{{arg4}}
Ettirgen eylemlerdeki yaptıran, ettiren vb
Kiminle (Kardeşimle, NATOyla, onlarla)
Nerede (mahallede, konuşmasında, hayalinde)
İzlediği yol (patikadan)
Amacı, bitiş noktası (Eve, odaya vb.) ya da faydalanan (annem için, arkadaşıma vb)
{{arg0}}
Miktarı (yüzde elli), (az, çok, biraz), (benden fazla) vb. 
Yan cümlecik (.. olarak, ... olmak üzere vb...) 
Nedeni ya da kaynağı (yüzünden, onun için, dağdan vb) 
Cümle başındaki Bağlaç (Ayrıca, Fakat, Buna rağmen vb.) ya da Seslenme (Allahım, duy sesimi)
Olumsuzluk anlamı ekleyici (Hiçbir zaman, asla, değil, yok, hiç)
Yardımcı fiil elemanı (mezun olmak'taki mezun, hayal etmek'teki hayal vb... )
Ne Zaman (Eylül, Pazartesi), Ne Sıklıkla (her zaman, bazen), Kaçıncı (ilk, son) ya da Ne kadarlığına (bir aylığına)
Tüm cümleyi etkileyen, diğer tanımlara uymayan zarflar (Mutlaka, muhtemelen vb...)
Fiil ikilemesi (yapıp yapıp, bakıla bakıla, ister istemez, olursan ol, vb... )
Ne ile (uçakla, gözleriyle, çekiçle vb...)
Eylemle ilişkili değil",bulunan şey,Ne bul? Kimi bul ?,315,"Bul bir fıstık kan , at evine , rahatla , derdin bu senin . ",bul,1,1,&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <strong>Cümle:</strong><font size=3><i>Anahtarlarımı cüzdanımda buldum.</i></font><br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>bulunan şey</b>: Anahtarlarımı<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>bulunan yer</b>: cüzdanımda<br>,N.A,N.A,bulan kimse,bulunan şey,nerede bulunduğu,N.A,N.A,fıstık,bulunan şey,Ne bul? Kimi bul ?,TRUE
853873269,0.38,8,false,"",0.0,,"",kurulan,"""dokuz. yüzyılda kurulan Bahai""",341,Evenlerin tarihte dokuz devlet kurduğunu ve bunlardan dokuz. yüzyılda kurulan Bahai ile oniki. yüzyılda kurulan Sin'in ( Altın ) imparatorluk olduğunu da belirtti . ,kur,2,1,"&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <strong>Cümle:</strong><font size=3><i>Geniş çöl ufukları arasında çadırlarımızı kurduk.</i></font><br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylem</b>: kurduk<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylemin nerede, hangi lokasyonda gerçekleştiği (soyut da olabilir) (mahallede, konuşmasında, hayalinde)</b>: Geniş çöl ufukları arasında<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>kurulan</b>: çadırlarımızı<br>",N.A,N.A,kuran,kurulan,N.A,N.A,N.A,Bahai,kurulan,"""dokuz. yüzyılda kurulan Bahai""",TRUE
853873270,0.00,7,false,"",0.0,,"","Ne Zaman (Eylül, Pazartesi), Ne Sıklıkla (her zaman, bazen), Kaçıncı (ilk, son) ya da Ne kadarlığına (bir aylığına)","Ne zaman kurulmuş? ""dokuz. yüzyılda"" ",341,Evenlerin tarihte dokuz devlet kurduğunu ve bunlardan dokuz. yüzyılda kurulan Bahai ile oniki. yüzyılda kurulan Sin'in ( Altın ) imparatorluk olduğunu da belirtti . ,kur,2,1,"&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <strong>Cümle:</strong><font size=3><i>Geniş çöl ufukları arasında çadırlarımızı kurduk.</i></font><br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylem</b>: kurduk<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylemin nerede, hangi lokasyonda gerçekleştiği (soyut da olabilir) (mahallede, konuşmasında, hayalinde)</b>: Geniş çöl ufukları arasında<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>kurulan</b>: çadırlarımızı<br>",N.A,N.A,kuran,kurulan,N.A,N.A,N.A,yüzyılda,"Ne Zaman (Eylül, Pazartesi), Ne Sıklıkla (her zaman, bazen), Kaçıncı (ilk, son) ya da Ne kadarlığına (bir aylığına)","Ne zaman kurulmuş? ""dokuz. yüzyılda"" ",TRUE
